Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
10, ACRU, 0, 0, 0, 1056, 
10, BENI, 0, 0, 0, 0, 
10, CAGL8, 0, 0, 0, 69, 
10, CATO6, 0, 0, 0, 52, 
10, FAGR, 0, 0, 0, 35, 
10, FRAM2, 0, 0, 0, 21, 
10, FRPE, 0, 0, 0, 9, 
10, JUNI, 0, 0, 0, 51, 
10, JUVI, 0, 0, 0, 54, 
10, LIST, 0, 0, 0, 1495, 
10, LITU, 0, 0, 0, 1384, 
10, NYSY, 0, 0, 0, 82, 
10, OXAR, 0, 0, 0, 61, 
10, PIEC, 0, 0, 0, 612, 
10, PIST, 0, 0, 0, 0, 
10, PITA, 0, 0, 0, 0, 
10, PIVI2, 0, 0, 0, 0, 
10, PLOC, 0, 0, 0, 34, 
10, PRSE2, 0, 0, 0, 273, 
10, QUAL, 0, 0, 0, 774, 
10, QUCO2, 0, 0, 0, 119, 
10, QUFA, 0, 0, 0, 0, 
10, QUMO4, 0, 0, 0, 165, 
10, QUPH, 0, 0, 0, 0, 
10, QURU, 0, 0, 0, 82, 
10, QUST, 0, 0, 0, 172, 
10, QUVE, 0, 0, 0, 45, 
10, ULAL, 0, 0, 0, 175, 
10, ULAM, 0, 0, 0, 35, 
10, PIPA, 0, 0, 0, 0, 
20, ACRU, 0, 0, 0, 560, 
20, BENI, 0, 0, 0, 0, 
20, CAGL8, 0, 0, 0, 36, 
20, CATO6, 0, 0, 0, 30, 
20, FAGR, 0, 0, 0, 26, 
20, FRAM2, 0, 0, 0, 22, 
20, FRPE, 0, 0, 0, 1, 
20, JUNI, 0, 0, 0, 33, 
20, JUVI, 0, 0, 0, 70, 
20, LIST, 0, 0, 0, 1044, 
20, LITU, 0, 0, 0, 977, 
20, NYSY, 0, 0, 0, 55, 
20, OXAR, 0, 0, 0, 100, 
20, PIEC, 0, 0, 0, 380, 
20, PIST, 0, 0, 0, 0, 
20, PITA, 0, 0, 0, 1667, 
20, PIVI2, 0, 0, 0, 0, 
20, PLOC, 0, 0, 0, 5, 
20, PRSE2, 0, 0, 0, 158, 
20, QUAL, 0, 0, 0, 603, 
20, QUCO2, 0, 0, 0, 81, 
20, QUFA, 0, 0, 0, 682, 
20, QUMO4, 0, 0, 0, 0, 
20, QUPH, 0, 0, 0, 90, 
20, QURU, 0, 0, 0, 34, 
20, QUST, 0, 0, 0, 148, 
20, QUVE, 0, 0, 0, 46, 
20, ULAL, 0, 0, 0, 90, 
20, ULAM, 0, 0, 0, 24, 
20, PIPA, 0, 0, 0, 0, 
30, ACRU, 0, 0, 0, 955, 
30, BENI, 0, 0, 0, 0, 
30, CAGL8, 0, 0, 0, 61, 
30, CATO6, 0, 0, 0, 41, 
30, FAGR, 0, 0, 0, 39, 
30, FRAM2, 0, 0, 0, 21, 
30, FRPE, 0, 0, 0, 15, 
30, JUNI, 0, 0, 0, 67, 
30, JUVI, 0, 0, 0, 154, 
30, LIST, 0, 0, 0, 1625, 
30, LITU, 0, 0, 0, 1577, 
30, NYSY, 0, 0, 0, 99, 
30, OXAR, 0, 0, 0, 185, 
30, PIEC, 0, 0, 0, 786, 
30, PIST, 0, 0, 0, 0, 
30, PITA, 0, 0, 0, 0, 
30, PIVI2, 0, 0, 0, 0, 
30, PLOC, 0, 0, 0, 26, 
30, PRSE2, 0, 0, 0, 313, 
30, QUAL, 0, 0, 0, 1061, 
30, QUCO2, 0, 0, 0, 153, 
30, QUFA, 0, 0, 0, 713, 
30, QUMO4, 0, 0, 0, 131, 
30, QUPH, 0, 0, 0, 0, 
30, QURU, 0, 0, 0, 90, 
30, QUST, 0, 0, 0, 202, 
30, QUVE, 0, 0, 0, 71, 
30, ULAL, 0, 0, 0, 172, 
30, ULAM, 0, 0, 0, 57, 
30, PIPA, 0, 0, 0, 0, 
40, ACRU, 0, 0, 0, 2988, 
40, BENI, 0, 0, 0, 0, 
40, CAGL8, 0, 0, 0, 252, 
40, CATO6, 0, 0, 0, 208, 
40, FAGR, 0, 0, 0, 109, 
40, FRAM2, 0, 0, 0, 82, 
40, FRPE, 0, 0, 0, 120, 
40, JUNI, 0, 0, 0, 89, 
40, JUVI, 0, 0, 0, 261, 
40, LIST, 0, 0, 0, 3512, 
40, LITU, 0, 0, 0, 3214, 
40, NYSY, 0, 0, 0, 261, 
40, OXAR, 0, 0, 0, 394, 
40, PIEC, 0, 0, 0, 1176, 
40, PIST, 0, 0, 0, 0, 
40, PITA, 0, 0, 0, 0, 
40, PIVI2, 0, 0, 0, 0, 
40, PLOC, 0, 0, 0, 159, 
40, PRSE2, 0, 0, 0, 695, 
40, QUAL, 0, 0, 0, 2180, 
40, QUCO2, 0, 0, 0, 252, 
40, QUFA, 0, 0, 0, 0, 
40, QUMO4, 0, 0, 0, 0, 
40, QUPH, 0, 0, 0, 158, 
40, QURU, 0, 0, 0, 196, 
40, QUST, 0, 0, 0, 460, 
40, QUVE, 0, 0, 0, 135, 
40, ULAL, 0, 0, 0, 480, 
40, ULAM, 0, 0, 0, 146, 
40, PIPA, 0, 0, 0, 0, 
50, ACRU, 0, 0, 0, 909, 
50, BENI, 0, 0, 0, 0, 
50, CAGL8, 0, 0, 0, 77, 
50, CATO6, 0, 0, 0, 42, 
50, FAGR, 0, 0, 0, 68, 
50, FRAM2, 0, 0, 0, 35, 
50, FRPE, 0, 0, 0, 15, 
50, JUNI, 0, 0, 0, 66, 
50, JUVI, 0, 0, 0, 259, 
50, LIST, 0, 0, 0, 1404, 
50, LITU, 0, 0, 0, 1424, 
50, NYSY, 0, 0, 0, 137, 
50, OXAR, 0, 0, 0, 180, 
50, PIEC, 0, 0, 0, 708, 
50, PIST, 0, 0, 0, 0, 
50, PITA, 0, 0, 0, 0, 
50, PIVI2, 0, 0, 0, 0, 
50, PLOC, 0, 0, 0, 25, 
50, PRSE2, 0, 0, 0, 354, 
50, QUAL, 0, 0, 0, 1109, 
50, QUCO2, 0, 0, 0, 189, 
50, QUFA, 0, 0, 0, 671, 
50, QUMO4, 0, 0, 0, 84, 
50, QUPH, 0, 0, 0, 56, 
50, QURU, 0, 0, 0, 102, 
50, QUST, 0, 0, 0, 200, 
50, QUVE, 0, 0, 0, 67, 
50, ULAL, 0, 0, 0, 237, 
50, ULAM, 0, 0, 0, 51, 
50, PIPA, 0, 0, 0, 0, 
60, ACRU, 0, 0, 0, 874, 
60, BENI, 0, 0, 0, 0, 
60, CAGL8, 0, 0, 0, 83, 
60, CATO6, 0, 0, 0, 55, 
60, FAGR, 0, 0, 0, 70, 
60, FRAM2, 0, 0, 0, 36, 
60, FRPE, 0, 0, 0, 14, 
60, JUNI, 0, 0, 0, 75, 
60, JUVI, 0, 0, 0, 292, 
60, LIST, 0, 0, 0, 1234, 
60, LITU, 0, 0, 0, 1363, 
60, NYSY, 0, 0, 0, 140, 
60, OXAR, 0, 0, 0, 208, 
60, PIEC, 0, 0, 0, 719, 
60, PIST, 0, 0, 0, 0, 
60, PITA, 0, 0, 0, 0, 
60, PIVI2, 0, 0, 0, 0, 
60, PLOC, 0, 0, 0, 28, 
60, PRSE2, 0, 0, 0, 385, 
60, QUAL, 0, 0, 0, 1172, 
60, QUCO2, 0, 0, 0, 179, 
60, QUFA, 0, 0, 0, 779, 
60, QUMO4, 0, 0, 0, 74, 
60, QUPH, 0, 0, 0, 46, 
60, QURU, 0, 0, 0, 138, 
60, QUST, 0, 0, 0, 175, 
60, QUVE, 0, 0, 0, 74, 
60, ULAL, 0, 0, 0, 253, 
60, ULAM, 0, 0, 0, 65, 
60, PIPA, 0, 0, 0, 0, 
70, ACRU, 0, 0, 0, 793, 
70, BENI, 0, 0, 0, 0, 
70, CAGL8, 0, 0, 0, 67, 
70, CATO6, 0, 0, 0, 67, 
70, FAGR, 0, 0, 0, 75, 
70, FRAM2, 0, 0, 0, 49, 
70, FRPE, 0, 0, 0, 13, 
70, JUNI, 0, 0, 0, 78, 
70, JUVI, 0, 0, 0, 345, 
70, LIST, 0, 0, 0, 1091, 
70, LITU, 0, 0, 0, 1317, 
70, NYSY, 0, 0, 0, 155, 
70, OXAR, 0, 0, 0, 198, 
70, PIEC, 0, 0, 0, 631, 
70, PIST, 0, 0, 0, 0, 
70, PITA, 0, 0, 0, 0, 
70, PIVI2, 0, 0, 0, 0, 
70, PLOC, 0, 0, 0, 17, 
70, PRSE2, 0, 0, 0, 417, 
70, QUAL, 0, 0, 0, 1343, 
70, QUCO2, 0, 0, 0, 189, 
70, QUFA, 0, 0, 0, 653, 
70, QUMO4, 0, 0, 0, 100, 
70, QUPH, 0, 0, 0, 41, 
70, QURU, 0, 0, 0, 121, 
70, QUST, 0, 0, 0, 186, 
70, QUVE, 0, 0, 0, 97, 
70, ULAL, 0, 0, 0, 234, 
70, ULAM, 0, 0, 0, 60, 
70, PIPA, 0, 0, 0, 0, 
80, ACRU, 0, 0, 0, 742, 
80, BENI, 0, 0, 0, 0, 
80, CAGL8, 0, 0, 0, 73, 
80, CATO6, 0, 0, 0, 57, 
80, FAGR, 0, 0, 0, 64, 
80, FRAM2, 0, 0, 0, 42, 
80, FRPE, 0, 0, 0, 23, 
80, JUNI, 0, 0, 0, 80, 
80, JUVI, 0, 0, 0, 402, 
80, LIST, 0, 0, 0, 1013, 
80, LITU, 0, 0, 0, 1258, 
80, NYSY, 0, 0, 0, 168, 
80, OXAR, 0, 0, 0, 304, 
80, PIEC, 0, 0, 0, 653, 
80, PIST, 0, 0, 0, 0, 
80, PITA, 0, 0, 0, 0, 
80, PIVI2, 0, 0, 0, 0, 
80, PLOC, 0, 0, 0, 16, 
80, PRSE2, 0, 0, 0, 382, 
80, QUAL, 0, 0, 0, 1265, 
80, QUCO2, 0, 0, 0, 227, 
80, QUFA, 0, 0, 0, 693, 
80, QUMO4, 0, 0, 0, 90, 
80, QUPH, 0, 0, 0, 43, 
80, QURU, 0, 0, 0, 150, 
80, QUST, 0, 0, 0, 235, 
80, QUVE, 0, 0, 0, 101, 
80, ULAL, 0, 0, 0, 241, 
80, ULAM, 0, 0, 0, 74, 
80, PIPA, 0, 0, 0, 0, 
90, ACRU, 0, 0, 0, 667, 
90, BENI, 0, 0, 0, 0, 
90, CAGL8, 0, 0, 0, 80, 
90, CATO6, 0, 0, 0, 58, 
90, FAGR, 0, 0, 0, 97, 
90, FRAM2, 0, 0, 0, 27, 
90, FRPE, 0, 0, 0, 10, 
90, JUNI, 0, 0, 0, 62, 
90, JUVI, 0, 0, 0, 464, 
90, LIST, 0, 0, 0, 956, 
90, LITU, 0, 0, 0, 1117, 
90, NYSY, 0, 0, 0, 186, 
90, OXAR, 0, 0, 0, 290, 
90, PIEC, 0, 0, 0, 654, 
90, PIST, 0, 0, 0, 0, 
90, PITA, 0, 0, 0, 0, 
90, PIVI2, 0, 0, 0, 0, 
90, PLOC, 0, 0, 0, 23, 
90, PRSE2, 0, 0, 0, 452, 
90, QUAL, 0, 0, 0, 1250, 
90, QUCO2, 0, 0, 0, 219, 
90, QUFA, 0, 0, 0, 760, 
90, QUMO4, 0, 0, 0, 97, 
90, QUPH, 0, 0, 0, 43, 
90, QURU, 0, 0, 0, 170, 
90, QUST, 0, 0, 0, 203, 
90, QUVE, 0, 0, 0, 86, 
90, ULAL, 0, 0, 0, 242, 
90, ULAM, 0, 0, 0, 82, 
90, PIPA, 0, 0, 0, 0, 
100, ACRU, 0, 0, 0, 648, 
100, BENI, 0, 0, 0, 0, 
100, CAGL8, 0, 0, 0, 95, 
100, CATO6, 0, 0, 0, 62, 
100, FAGR, 0, 0, 0, 75, 
100, FRAM2, 0, 0, 0, 46, 
100, FRPE, 0, 0, 0, 14, 
100, JUNI, 0, 0, 0, 72, 
100, JUVI, 0, 0, 0, 483, 
100, LIST, 0, 0, 0, 848, 
100, LITU, 0, 0, 0, 1148, 
100, NYSY, 0, 0, 0, 192, 
100, OXAR, 0, 0, 0, 321, 
100, PIEC, 0, 0, 0, 584, 
100, PIST, 0, 0, 0, 0, 
100, PITA, 0, 0, 0, 0, 
100, PIVI2, 0, 0, 0, 0, 
100, PLOC, 0, 0, 0, 18, 
100, PRSE2, 0, 0, 0, 437, 
100, QUAL, 0, 0, 0, 1295, 
100, QUCO2, 0, 0, 0, 203, 
100, QUFA, 0, 0, 0, 739, 
100, QUMO4, 0, 0, 0, 105, 
100, QUPH, 0, 0, 0, 52, 
100, QURU, 0, 0, 0, 161, 
100, QUST, 0, 0, 0, 181, 
100, QUVE, 0, 0, 0, 95, 
100, ULAL, 0, 0, 0, 236, 
100, ULAM, 0, 0, 0, 87, 
100, PIPA, 0, 0, 0, 0, 
