Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
0, ecoregion2, 2, 37385, 0, 2256.6, 847.5, 0, 0, 0, 0, 3.5, 175.1, 0, 0, 0, 398.3, 104, 0, 0, 0, 0, 0, 0, 641.9, 1069.1, 470.6, 75, 0, 0, 2.1, 1.1, 0, 0, 0, 0, 0, 0, 13, 129.4, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171.8, 0, 0, 0, 
10, ecoregion2, 2, 37385, -53.5, 1054.6, 3327, 162.7, 43.6, 49.9, 54.8, 8.65, 123.6, 8.4, 71.7, 15.2, 1488.3, 394.7, 85.5, 30.1, 30.3, 63.8, 12.8, 24.9, 277.4, 576.1, 113.1, 88, 2.8, 0.3, 8.6, 4.4, 0.5, 0.3, 0.2, 2, 0.1, 1, 6.3, 68.7, 4.7, 15.1, 0.1, -0.2, 0, -0.1, 0.9, 5.2, -1.1, 0, 41.45, 4.8, 1.69, 0, 0, 2, 1.2, 106.8, 5.29, 0, 0, 
20, ecoregion2, 2, 37385, -32.6, 947.5, 5156, 142.8, 38, 42.4, 88.1, 5.01, 107.5, 5.1, 80.9, 17.6, 2339.7, 624.6, 139, 54.8, 29.6, 71.5, 14.9, 30.3, 316.7, 418, 116.9, 96, 3.1, 0.4, 13.8, 7.1, 0.8, 0.6, 0.2, 2.2, 0.1, 1.2, 7, 46.2, 3.3, 16.4, 0.1, -0.2, 0, -0.1, 0.9, 2.4, -1.6, 0, 42.42, 3.89, 1.71, 0, 0, 1.7, 1.1, 81.7, 3.39, 0, 0, 
30, ecoregion2, 2, 37385, -97.6, 1016, 6557.1, 241.9, 64.2, 64.4, 118.1, 4.08, 110.7, 6.5, 92.1, 19.7, 2985.9, 800.1, 171.4, 64.1, 35.1, 79.4, 15.7, 31.7, 383.7, 404.8, 124.5, 103.2, 3.5, 0.4, 17.7, 9.1, 1, 0.7, 0.2, 2.5, 0.1, 1.3, 7.8, 41.6, 3.1, 17.6, 0.1, -0.2, 0, -0.1, 1.2, 2.9, -2.5, 0, 41.05, 5.01, 1.09, 0, 0, 3.1, 1.6, 78.2, 2.39, 0, 0, 
40, ecoregion2, 2, 37385, -190.8, 1107.1, 8150.3, 403.9, 106.5, 110.8, 156, 2.82, 120.7, 10, 135.3, 29.3, 3687.5, 992.4, 165.9, 59.4, 37.3, 84.2, 15.6, 31.5, 441.3, 431.8, 123, 111, 5.2, 0.6, 22, 11.4, 0.9, 0.7, 0.2, 2.7, 0.1, 1.3, 8.5, 42.7, 2.7, 18.8, 0.1, -0.3, 0, 0, 1.9, 4.8, -4.1, 0, 42.28, 14.39, 2.06, 0, 0, 5, 2.6, 79.9, 1.44, 0, 0, 
50, ecoregion2, 2, 37385, -96.7, 1352.5, 9422, 315.6, 85.2, 84.3, 183.4, 2.2, 137.6, 8.4, 111.5, 24.7, 4313.9, 1169.9, 240.9, 95.8, 39.7, 97.4, 20, 40.4, 547.7, 511.9, 173, 119.9, 4.3, 0.5, 26.5, 13.7, 1.4, 1.1, 0.2, 3.1, 0.1, 1.7, 10.3, 48.9, 3.5, 20.2, 0.1, -0.3, 0, -0.1, 1.7, 3.7, -4.1, 0, 42.94, 6.86, 1.13, 0, 0, 3.8, 2, 90.2, 1.45, 0, 0, 
60, ecoregion2, 2, 37385, -76.1, 1568.7, 10399.8, 332.8, 90.3, 87.7, 210.5, 2.3, 156.1, 9.7, 111.9, 25, 4773.4, 1305.2, 272.1, 110, 41.4, 101.2, 21.1, 42.5, 629, 609.9, 199.1, 130.8, 4.2, 0.6, 30, 15.5, 1.6, 1.3, 0.2, 3.3, 0.1, 1.8, 11.3, 57.9, 4.1, 21.8, 0.1, -0.3, 0, -0.1, 1.8, 4.4, -4.7, 0, 42.6, 8.3, 1.29, 0, 0, 4.1, 2.1, 102.8, 1.51, 0, 0, 
70, ecoregion2, 2, 37385, -61.1, 1749.5, 11108.6, 348.6, 95.1, 91.3, 233, 2.41, 172.1, 10.8, 112.8, 25.3, 5105.9, 1407.1, 297.4, 121.5, 43.1, 105.4, 22.1, 44.4, 695.6, 690.3, 220.4, 143.1, 4.3, 0.6, 32.9, 16.9, 1.8, 1.4, 0.2, 3.4, 0.1, 1.9, 12.1, 65.7, 4.7, 23.7, 0.1, -0.3, 0, -0.1, 2, 4.9, -5.2, 0, 42.6, 9.45, 1.42, 0, 0, 4.4, 2.2, 114.3, 1.57, 0, 0, 
80, ecoregion2, 2, 37385, -48.3, 1905.3, 11605, 361.8, 99.3, 94.2, 251.8, 2.53, 186.1, 11.7, 112.8, 25.5, 5339.4, 1483.6, 317.7, 131.2, 44.5, 108.9, 22.9, 46, 752.2, 758, 238.2, 156.8, 4.2, 0.6, 35.2, 17.9, 1.9, 1.6, 0.2, 3.6, 0.1, 2, 12.8, 72.5, 5.2, 25.8, 0.1, -0.3, 0, -0.1, 2.1, 5.4, -5.6, 0, 42.6, 10.42, 1.53, 0, 0, 4.6, 2.2, 124.7, 1.63, 0, 0, 
90, ecoregion2, 2, 37385, -40.2, 2034.1, 11968.3, 373.5, 103.1, 96.5, 265.9, 2.65, 198.4, 12.5, 112.4, 25.5, 5510.6, 1544, 330.9, 138.3, 45.7, 111.9, 23.6, 47.4, 797, 813.5, 252.2, 171.4, 4.2, 0.6, 37.2, 18.7, 2.1, 1.7, 0.2, 3.7, 0.1, 2, 13.4, 78, 5.7, 28.1, 0.1, -0.3, 0, -0.1, 2.2, 5.8, -5.8, 0, 42.6, 11.21, 1.63, 0, 0, 4.8, 2.3, 133.9, 1.7, 0, 0, 
100, ecoregion2, 2, 37385, -35.1, 2142.5, 12251.5, 384.3, 106.6, 98.7, 277, 2.75, 209.1, 13.1, 111.6, 25.5, 5644.8, 1594.5, 341.5, 144.2, 46.7, 114.6, 24.3, 48.7, 833, 859, 263.7, 186.8, 4.1, 0.6, 39, 19.3, 2.2, 1.7, 0.2, 3.8, 0.1, 2.1, 13.9, 82.6, 6, 30.5, 0.1, -0.3, 0, -0.1, 2.3, 6.1, -6.1, 0, 42.6, 11.88, 1.71, 0, 0, 5, 2.3, 142.1, 1.75, 0, 0, 
